date,time,description,shop,amount
2023-01-04,09:12:10,Coffee,Starbucks,-4.85
2023-01-10,14:22:55,Grocery Run,Walmart,-62.40
2023-01-15,10:13:25,Invoice 1001 paid,Joe,1500.00
2023-02-02,16:45:11,Gas Refill,Shell,-38.20
2023-02-14,18:30:00,Valentine's Dinner,Olive Garden,-54.90
2023-03-01,08:05:33,Paycheck,Employer Inc,1500.00
2023-03-12,12:44:19,Phone Case,Amazon,-12.99
2023-04-15,10:13:25,Ergonomic keyboard,Amazon,-89.50
2023-04-15,11:15:00,Invoice 1001 paid,Joe,1500.00
2023-05-03,15:22:10,Lunch,Chipotle,-11.75
2023-06-09,19:40:55,Movie Tickets,AMC,-27.00
2023-07-04,13:10:22,BBQ Supplies,Kroger,-48.33
2023-08-18,09:55:10,Paycheck,Employer Inc,1500.00
2023-09-02,17:22:44,Shoes,Foot Locker,-79.99
2023-10-11,11:33:20,Groceries,Trader Joe's,-93.12
2023-11-25,20:14:55,Black Friday Electronics,Best Buy,-249.99
2023-12-22,10:05:00,Holiday Gift,Target,-34.50

2024-01-03,08:01:12,Paycheck,Employer Inc,1500.00
2024-01-19,14:55:40,Car Wash,QuickClean,-12.00
2024-02-10,18:22:33,Valentine's Gift,Amazon,-29.99
2024-03-05,09:44:12,Groceries,Aldi,-71.20
2024-04-01,08:00:00,Paycheck,Employer Inc,1500.00
2024-04-17,13:33:55,Lunch,Panda Express,-10.45
2024-05-29,16:10:22,Gas Refill,Shell,-41.10
2024-06-14,19:55:00,Concert Ticket,Ticketmaster,-120.00
2024-07-03,11:22:10,Swim Shorts,Old Navy,-24.99
2024-08-21,08:00:00,Paycheck,Employer Inc,1500.00
2024-09-09,17:44:33,Haircut,Supercuts,-22.00
2024-10-31,20:10:10,Halloween Candy,Target,-14.75
2024-11-28,13:00:00,Thanksgiving Groceries,Kroger,-86.40
2024-12-24,09:55:55,Christmas Gift,Amazon,-59.99

2025-01-02,08:00:00,Paycheck,Employer Inc,1500.00
2025-01-15,12:33:22,Lunch,McDonald's,-8.99
2025-02-11,18:40:00,Valentine's Dinner,Olive Garden,-62.10
2025-03-08,10:12:44,Groceries,Trader Joe's,-95.33
2025-04-01,08:00:00,Paycheck,Employer Inc,1500.00
2025-04-19,14:55:10,New Mouse,Amazon,-19.99
2025-05-27,16:22:33,Gas Refill,Shell,-39.80
2025-06-30,19:10:00,Streaming Subscription,Netflix,-15.49
2025-07-04,12:22:10,BBQ Supplies,Kroger,-52.77
2025-08-18,08:00:00,Paycheck,Employer Inc,1500.00
2025-09-12,17:33:44,Shoes,Foot Locker,-84.99
2025-10-29,11:55:22,Groceries,Aldi,-67.20
2025-11-26,20:14:55,Black Friday Deal,Best Buy,-199.99
2025-12-23,10:05:00,Holiday Gift,Target,-42.50

2026-01-03,08:00:00,Paycheck,Employer Inc,1500.00
2026-01-14,13:33:55,Lunch,Chipotle,-12.45
2026-02-09,16:10:22,Gas Refill,Shell,-40.60
2026-03-01,08:00:00,Paycheck,Employer Inc,1500.00
2026-03-18,12:44:19,Phone Charger,Amazon,-14.99
2026-04-10,11:33:20,Groceries,Trader Joe's,-88.12
2026-05-01,09:12:10,Coffee,Starbucks,-5.15

